hgnc_symbol,gene_biotype,mean.CPM,min.CPM,max.CPM,express.in.libs
OR10Q1,protein_coding,0.025046140218664553,0,0.5009228043732911,1
OR10R2,protein_coding,0,0,0,0
OR10S1,protein_coding,0.012523070109332277,0,0.25046140218664553,1
OR10T2,protein_coding,0,0,0,0
OR10V1,protein_coding,0.022899028322631194,0,0.25986580394753933,2
OR10W1,protein_coding,0.025046140218664553,0,0.5009228043732911,1
OR10X1,protein_coding,0.017932005425414312,0,0.35864010850828626,1
OR10Z1,protein_coding,0.05931239242532424,0,0.8629023849080775,3
OR11A1,protein_coding,0.004425478099196749,0,0.08850956198393498,1
OR11G2,protein_coding,0.061050824185954825,0,0.7513842065599365,4
OR11H1,protein_coding,0.011442808228159579,0,0.1433626479507724,2
OR11H12,protein_coding,0,0,0,0
OR11H2,protein_coding,0.02834523020524068,0,0.36878984159972905,2
OR11H4,protein_coding,0.01132996326531617,0,0.12523070109332277,2
OR11H6,protein_coding,0,0,0,0
OR11L1,protein_coding,0.006920171337961552,0,0.13840342675923104,1
OR12D2,protein_coding,0,0,0,0
OR12D3,protein_coding,0.01914964810999453,0,0.25046140218664553,2
OR13A1,protein_coding,0.03871770518758723,0,0.37569210327996827,4
OR13C2,protein_coding,0.013829619059989839,0,0.2765923811997968,1
OR13C3,protein_coding,0,0,0,0
OR13C4,protein_coding,0.004609873019996613,0,0.09219746039993226,1
OR13C5,protein_coding,0.009219746039993227,0,0.18439492079986453,1
OR13C8,protein_coding,0.023864698272039717,0,0.25986580394753933,3
OR13C9,protein_coding,0,0,0,0
OR13F1,protein_coding,0,0,0,0
OR13G1,protein_coding,0.012758180153354622,0,0.12993290197376967,2
OR13H1,protein_coding,0,0,0,0
OR13J1,protein_coding,0.018784605163998415,0,0.37569210327996827,1
OR14A16,protein_coding,0,0,0,0
OR14A2,protein_coding,0.039885935926342396,0,0.4109842137569892,3
OR14C36,protein_coding,0.00515838060720924,0,0.10316761214418481,1
OR14I1,protein_coding,0,0,0,0
OR14J1,protein_coding,0,0,0,0
OR14K1,protein_coding,0.0086588426807344,0,0.173176853614688,1
OR1A1,protein_coding,0.025441246873923455,0,0.35068777728531864,2
OR1A2,protein_coding,0,0,0,0
OR1B1,protein_coding,0,0,0,0
OR1C1,protein_coding,0.04386842527342555,0,0.346353707229376,4
OR1D2,protein_coding,0.01451561114525084,0,0.19811476250508456,2
OR1D5,protein_coding,0.027645449674516424,0,0.17098703322483838,4
OR1E1,protein_coding,0.017456382223248648,0,0.13840342675923104,3
OR1E2,protein_coding,0.01132996326531617,0,0.12523070109332277,2
OR1F1,protein_coding,0,0,0,0
OR1G1,protein_coding,0,0,0,0
OR1I1,protein_coding,0.008549351661241919,0,0.17098703322483838,1
OR1J1,protein_coding,0.07151873037412852,0,0.6325486407726018,3
OR1J2,protein_coding,0,0,0,0
OR1J4,protein_coding,0.010153507529683805,0,0.20307015059367609,1
OR1L1,protein_coding,0.006496645098688483,0,0.12993290197376967,1
OR1L3,protein_coding,0.07491459707325428,0,0.9221518171312454,3
OR1L4,protein_coding,0.06996536030222728,0,0.5195305608440639,6
OR1L6,protein_coding,0.12911611286833904,0,0.7168132397538619,9
OR1L8,protein_coding,0.038120583004486605,0,0.3962295250101691,4
OR1M1,protein_coding,0.029656013238661166,0,0.5009228043732911,2
OR1N1,protein_coding,0.009219746039993227,0,0.18439492079986453,1
